"";"StrSeq";"Name";"N";"LN";"sd";"se";"ci"
"78";"Ol1";"Neoschizodus orbicularis";2;2,4;0;0;0
"79";"Ol1";"Unionites canalensis";133;1,93293233082707;0,552844958751091;0,0479377375334222;0,0948255830993249
"80";"Ol1";"Unionites fassaensis";122;1,57196721311475;0,658170064365495;0,0595879178001825;0,11797000034395
"81";"Ol1";"Bakevellia exporrecta";4;2,15;0,640312423743285;0,320156211871642;1,01887995358454
"82";"Ol1";"Avichlamys voelseckhofensis";1;2,7;NA;NA;NA
"83";"Ol1";"Scythentolium sp.A";4;2,725;0,262995563967658;0,131497781983829;0,41848463042744
"84";"Ol1";"Eumorphotis hinnitidea";11;3,01818181818182;0,36005050150828;0,108559310825659;0,241885218195506
"85";"Ol2";"Costatoria subrotunda";1;2,2;NA;NA;NA
"86";"Ol2";"Neoschizodus laevigatus";13;2,51538461538462;0,244425018653144;0,0677913029046271;0,147704560508459
"87";"Ol2";"Neoschizodus ovatus";3;2,6;0,62449979983984;0,360555127546399;1,55134350376268
"88";"Ol2";"Homomya sp.";1;3,2;NA;NA;NA
"89";"Ol2";"Pleuromya elongata";1;3,1;NA;NA;NA
"90";"Ol2";"Unionites canalensis";4;3,1;0,355902608401044;0,177951304200522;0,566320470573368
"91";"Ol2";"Unionites fassaensis";1;2,8;NA;NA;NA
"92";"Ol2";"Hoernesia sp.";2;3;0,14142135623731;0,1;1,27062047361747
"93";"Ol2";"Bakevellia albertii";22;2,62272727272727;0,246599382422697;0,0525751649853701;0,109336040992418
"94";"Ol2";"Bakevellia castelli";2;3,1;0,282842712474619;0,2;2,54124094723494
"95";"Ol2";"Bakevellia exporrecta";26;2,41538461538462;0,378092377804481;0,0741500158602209;0,152714816351393
"96";"Ol2";"Promyalina eduliformis";2;2,95;0,0707106781186548;0,05;0,635310236808735
"97";"Ol2";"Scythentolium sp.";1;3,3;NA;NA;NA
"98";"Ol2";"Scythentolium tirolicum";1;3,1;NA;NA;NA
"99";"Ol2";"Entolium discites";1;2,9;NA;NA;NA
"100";"Ol2";"Eumorphotis beneckei";2;3,7;0,424264068711929;0,3;3,81186142085241
"101";"Ol2";"Eumorphotis kittli";3;3,8;0,173205080756888;0,0999999999999999;0,430265272974946
"102";"Ol2";"Eumorphotis reticulata";4;3,7;0,2;0,1;0,318244630528371
"103";"Ol2";"Eumorphotis sp.";1;3,1;NA;NA;NA
"104";"Ol2";"Eumorphotis telleri";50;3,634;0,262336440784092;0,0370999752461549;0,0745551915527806
"105";"Ol2";"Eumorphotis tenuistriata";3;3,73333333333333;0,208166599946613;0,120185042515466;0,517114501254226
"106";"Ol2";"Leptochondria albertii";3;2,76666666666667;0,0577350269189624;0,0333333333333332;0,143421757658315
"107";"Ol3";"Costatoria costata";2;2,3;0,565685424949238;0,4;5,08248189446988
"108";"Ol3";"Neoschizodus laevigatus";1;2,5;NA;NA;NA
"109";"Ol3";"Neoschizodus ovatus";7;2,72857142857143;0,415187851918806;0,156926257650325;0,383984719600408
"110";"Ol3";"Unionites canalensis";2;2,25;0,919238815542512;0,65;8,25903307851355
"111";"Ol3";"Bakevellia albertii";20;2,18;0,193581208309397;0,043286074094636;0,0905987943009735
"112";"Ol3";"Bakevellia ladina";1;2,1;NA;NA;NA
"113";"Ol3";"Bakevellia costata";2;2,05;0,353553390593274;0,25;3,17655118404367
"114";"Ol3";"Bakevellia exporrecta";7;2,58571428571429;0,2911389784311;0,110040190555156;0,269258646371661
