Worker;Subclass;Infraclass;Superorder;Order;Suborder;Superfamily;Family;ONG;Genus;ONS;Species;Name;Ecology;Section;Sample;Height;Lithology;StrSeq;StrSeq_sub;Age;Coll. No.;No. of rock sample;No. of specimen;BNM;LV;RV;Length;Height;L/H;Gsize;LN
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 954;PR2.35;PR2.35.01;;;1;7,7;5,2;1,50;6,40;1,80
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 994;PR2.76;PR2.76.01;;1;;8,5;5,5;1,50;6,80;1,90
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.02.05;;;1;8,5;5,6;1,50;6,90;1,90
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.18;;;1;8,8;5,7;1,50;7,10;2,00
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.80.02;;1;;8,8;5,9;1,50;7,20;2,00
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.22.02;;;1;10;6,8;1,50;8,30;2,10
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.12;;;1;10,4;6,8;1,50;8,40;2,10
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.36;;1;;10,6;7,2;1,50;8,70;2,20
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.02.11;;;1;11;7,5;1,50;9,10;2,20
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.45.02;;1;;11,1;7,2;1,50;8,90;2,20
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 980;PR2.61;PR2.61.01;;1;;11,1;7,3;1,50;9,00;2,20
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.34;;1;;11,7;7,8;1,50;9,50;2,30
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.21.01.05b;;;1;11,8;7,7;1,50;9,50;2,30
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.21;;;1;11,8;7,8;1,50;9,60;2,30
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.39;;1;;11,8;7,9;1,50;9,60;2,30
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.14;;;1;12;8;1,50;9,80;2,30
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 1959;PR2.96;PR2.95.01;;1;;12,1;7,9;1,50;9,80;2,30
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 921;PR2.02;PR2.02.01;;;1;12,6;8,2;1,50;10,10;2,30
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.02.09;;;1;13;9;1,50;10,80;2,40
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.21.01.02;;;1;13,2;8,6;1,50;10,60;2,40
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.32;;1;;13,2;8,8;1,50;10,80;2,40
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.21.01.07a;;;1;13,7;9;1,50;11,10;2,40
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.40;;1;;14,1;9,6;1,50;11,70;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 973;PR2.54;PR2.54.01;;1;;14,3;9,5;1,50;11,60;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 971;PR2.52;PR2.52.01;;1;;15;10,3;1,50;12,40;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 1000;PR2.82;PR2.82.01a;;1;;15,5;10,2;1,50;12,60;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 1009;PR2.91;PR2.91.01;;1;;15,6;10,1;1,50;12,60;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 985;PR2.67;PR2.67.01;;1;;15,8;10,4;1,50;12,80;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.26;;1;;15,9;10,4;1,50;12,90;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 975;PR2.56;PR2.56.01;;1;;15,9;10,5;1,50;12,90;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 940;PR2.21;PR2.21.01.01;;;1;16,7;11,1;1,50;13,60;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 988;PR2.70;PR2.70.01;;1;;16,7;11,1;1,50;13,60;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.15;;;1;16,9;11,4;1,50;13,90;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.06;;;1;17,7;11,7;1,50;14,40;2,70
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;MLCS 968;PR2.49;PR2.49.01;;1;;17,7;11,8;1,50;14,40;2,70
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.23;;;1;18,6;12,2;1,50;15,00;2,70
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.44;;1;;20,7;13,6;1,50;16,80;2,80
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.46.03;;1;;21,1;14,5;1,50;17,50;2,90
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR02;NA;NA;Lo5;Lo5_01;-252,337;;;PR2.21.01.07b;;;1;21,4;14,1;1,50;17,40;2,90
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.03;;;1;22,9;15,4;1,50;18,70;2,90
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;LADINOMYIDAE;;Ladinomya;;fosteri;Ladinomya fosteri;facultatively mobile, infaunal suspension feeder;Preroman;PR136;22,2;Limestone;Lo5;Lo5_01;-252,337;;;PR136.01.09;;;1;24;15,9;1,50;19,50;3,00
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;MLCS 1849;BA461.168;BA461.168.01;;1;;11,5;7,7;1,50;9,40;2,20
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;MLCS 1853;BA461.172;BA461.172.01;;1;;15,1;10,1;1,50;12,30;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Balest;BA461;110,7;Limestone;Lo4;Lo4_03;-253,174;MLCS 1850;BA461.169;BA461.169.01;;1;;15,9;10,7;1,50;13,00;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Balest;BA460;110,55;Limestone;Lo4;Lo4_03;-253,174;MLCS 2190;BA460.111;BA460.111.01;;;1;16,1;10,7;1,50;13,20;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Balest;BA460;110,55;Limestone;Lo4;Lo4_03;-253,174;MLCS 392;BA460.88;BA460.88.01;;;1;18,7;12,5;1,50;15,30;2,70
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;;;PR61a.74.02;;1;;13,6;9;1,50;11,10;2,40
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1267;PR61a.237;PR61a.237.01;;;1;15,4;10,6;1,50;12,80;2,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1221;PR61a.191;PR61a.191.01;;;1;15,9;10,4;1,50;12,80;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1263;PR61a.233;PR61a.233.01;;;1;15,9;10,9;1,50;13,10;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1279;PR61a.249;PR61a.249.01;;1;;16;10,6;1,50;13,00;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1105;PR61a.74;PR61a.74.01;;;1;16,5;10,7;1,50;13,30;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1264;PR61a.234;PR61a.234.01;;1;;16,6;11;1,50;13,50;2,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1854;PR61a.282;PR61a.282.01;;;1;18,8;12,8;1,50;15,50;2,70
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;LUCINIDA;;LUCINACEA;LUCINIDAE;;Lovaralucina;;covidi;Lovaralucina covidi;Facultatively mobile, infaunal, chemosymbiotic;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1261;PR61a.231;PR61a.231.01;;;1;19;12,7;1,50;15,60;2,70
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;Balest;BA.MMb.105;38;;In1;;-251,771;8;21;;;;1;5,5;3,8;1,50;4,60;1,50
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;Balest;BA.MMb.105;38;;In1;;-251,771;7;16;;;;1;5,9;3,9;1,50;4,80;1,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;Balest;BA.MMb.105;38;;In1;;-251,771;1;35;;;1;;8,8;6;1,50;7,30;2,00
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;Balest;BA.MMb.105;38;;In1;;-251,771;1;74;;;1;;10,5;7,2;1,50;8,70;2,20
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;Balest;BA.MMb.105;38;;In1;;-251,771;12;1;;;1;;10,6;6,9;1,50;8,60;2,10
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;L'Om picol;LOP6;;;Ol1;;-250,9;LOP6-NL-1;;;;;1;13,5;9,2;1,50;11,10;2,40
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;laevigatus;Neoschizodus laevigatus;;Costabella;CB16;;;Ol2;;-249,75;CB16-NL-1;;;;1;;22;15;1,50;18,20;2,90
Neri and Posenato (1985);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;?;Neoschizodus;cf.;laevigatus;Neoschizodus laevigatus;;Val Sorda;;;;Ol2;;-249,75;;;;;1;;18,2;12;1,50;14,80;2,70
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;orbicularis;Neoschizodus orbicularis;;Balest;BA.MMb.105;38;;In1;;-251,771;9;56;;;1;;6;4,1;1,50;5,00;1,60
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;orbicularis;Neoschizodus orbicularis;;Balest;BA.MMb.105;38;;In1;;-251,771;9;37;;;;1;7,5;4,9;1,50;6,10;1,80
Posenato (1989);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;ovatus;Neoschizodus ovatus;;Val Averta;4F;;;Ol3;;-248,05;;;;;;;14,5;10;1,50;24,10;3,20
Posenato (1989);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;ovatus;Neoschizodus ovatus;;Val Averta;4F;;;Ol3;;-248,05;;;;;;;22;14,5;1,50;17,90;2,90
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Promytilus;;merlai;Promytilus merlai;stationary, semi-infaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1265;PR61a.235;PR61a.235.01;;1;;24,6;15,9;1,50;19,80;3,00
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;MYTILOIDA;;;MYTILIDAE;;Promytilus;;merlai;Promytilus merlai;stationary, semi-infaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;MLCS 1944;PR61a.292;PR61a.292.01;;;1;26,8;17,5;1,50;21,70;3,10
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PTERIOIDA;PTERIINA;PTERIOIDEA;PTERIIDAE;;Pteria;cf.;ussurica;Pteria ussurica;;Balest;BA.MMb.105;38;;In1;;-251,771;2;60;;;1;;4,2;2,9;1,50;3,50;1,20
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PTERIOIDA;PTERIINA;PTERIOIDEA;PTERIIDAE;;Pteria;cf.;ussurica;Pteria ussurica;;Balest;BA.MMb.105;38;;In1;;-251,771;1;38;;;1;;6;3,9;1,50;4,80;1,60
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PTERIOIDA;PTERIINA;PTERIOIDEA;PTERIIDAE;;Pteria;cf.;ussurica;Pteria ussurica;;Balest;BA.MMb.105;38;;In1;;-251,771;1;64;;;1;;7,7;5,2;1,50;6,30;1,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;EUPTERIOMORPHIA;PTERIOIDA;PTERIINA;PTERIOIDEA;PTERIIDAE;;Pteria;cf.;ussurica;Pteria ussurica;;Balest;BA.MMb.105;38;;In1;;-251,771;1;26;;;1;;9;6;1,50;7,30;2,00
Herwig Prinoth;AUTOBRANCHIA;HETEROCONCHIA;;TRIGONIIDA;;TRIGONIOIDEA;SCHIZODIDAE ;;Schizodus;;obscurus;Schizodus obscurus;facultatively mobile, infaunal suspension feeder ;Preroman;PR061;10,9;Limestone;Lo4;Lo4_03;-253,174;;PR61a.10;PR61a.10.02;;;1;18,6;12,7;1,50;15,40;2,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Tambanella;;stetteneckensis;Tambanella stetteneckensis;stationary, epifaunal suspension feeder ;Balest;BA231;65,9;Dolomite;Lo4;Lo4_01;-253,174;;;BA231.266.02;;;1;7;4,6;1,50;5,70;1,70
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Tambanella;;stetteneckensis;Tambanella stetteneckensis;stationary, epifaunal suspension feeder ;Balest;BA231;65,9;Dolomite;Lo4;Lo4_01;-253,174;MLCS 2330;BA231.255;BA231.255.01;;;1;8,1;5,3;1,50;6,50;1,90
