Worker;Subclass;Infraclass;Superorder;Order;Suborder;Superfamily;Family;ONG;Genus;ONS;Species;Name;Ecology;Section;Sample;Height;Lithology;StrSeq;StrSeq_sub;Age;Coll. No.;No. of rock sample;No. of specimen;BNM;LV;RV;Length;Height;L/H;Gsize;LN
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;3;4,9;0,61;3,83;1,34
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,4;8,8;0,61;6,89;1,93
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;7,7;12,5;0,62;9,81;2,28
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,8;9,4;0,62;7,38;2,00
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;11,2;17,9;0,63;14,16;2,65
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,3;6,8;0,63;5,41;1,69
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5;7,9;0,63;6,28;1,84
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;4;6,3;0,63;5,02;1,61
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,3;6,7;0,64;5,37;1,68
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;6,1;9,5;0,64;7,61;2,03
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;3,4;5,2;0,65;4,20;1,44
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,3;8,1;0,65;6,55;1,88
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;2,8;4,2;0,67;3,43;1,23
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;4,8;7,2;0,67;5,88;1,77
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;6,4;9,4;0,68;7,76;2,05
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,2;7,6;0,68;6,29;1,84
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;7,8;11,4;0,68;9,43;2,24
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;6,3;9,2;0,68;7,61;2,03
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;2,4;3,5;0,69;2,90;1,06
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;2;2,9;0,69;2,41;0,88
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;3,8;5,5;0,69;4,57;1,52
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;6,4;9,2;0,70;7,67;2,04
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,3;7,6;0,70;6,35;1,85
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,4;6,3;0,70;5,26;1,66
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,1;7,3;0,70;6,10;1,81
Neri and Posenato (1985);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;;exporrecta;Bakevellia exporrecta;;Val Sorda;;;;Ol2;;-249,75;;;;;1;;13,3;20;0,70;16,30;2,80
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;multiformis;Eumorphotis multiformis;;Balest;BA.MMb.105;38;;In1;;-251,771;12;70;;;1;;13;17,7;0,70;15,20;2,70
Hautmann von Hofmann et al. (2015);AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;ENTOLIIDINA;HETEROPECTINOIDEA;HETEROPECTINIDAE;;Eumorphotis;;telleri;Eumorphotis telleri;;Val Venegia;VV2;;;Ol2;;-249,75;VV2-ET-1;;;;1;;25;33,5;0,70;28,90;3,40
Herwig Prinoth;AUTOBRANCHIA;PTERIOMORPHIA;;PECTINIDA;;AVICULOPECTINOIDEA;ASOELLIDAE;;Gardenapecten;;trinkeri;Gardenapecten trinkeri;stationary, epifaunal suspension feeder;Jmueia;JM188;31,75;Limestone;Lo5;Lo5_01;-252,337;;JM188a.01b;JM188a.01b.07;;1;;8,6;11,5;0,70;9,90;2,30
Posenato (1989);AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;TRIGONIIDA;Trigoniina ;TRIGONIOIDEA;MYOPHORIIDAE;;Neoschizodus;;ovatus;Neoschizodus ovatus;;Val Averta;4F;;;Ol3;;-248,05;;;;;;;8;11,5;0,70;9,60;2,30
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;6,1;8,7;0,70;7,28;1,99
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,7;6,7;0,70;5,61;1,72
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,5;7,8;0,71;6,55;1,88
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;3,9;5,5;0,71;4,63;1,53
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;4,7;6,6;0,71;5,57;1,72
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,1;5,7;0,72;4,83;1,58
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,3;7,3;0,73;6,22;1,83
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;5,3;7,3;0,73;6,22;1,83
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,3;7,3;0,73;6,22;1,83
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;4;5,5;0,73;4,69;1,55
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,9;6,7;0,73;5,73;1,75
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,9;6,6;0,74;5,69;1,74
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;3,2;4,3;0,74;3,71;1,31
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;4,1;5,5;0,75;4,75;1,56
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,3;7,1;0,75;6,13;1,81
